"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5928","Auth with valid data","","Sun Dec 14 11:47:12 UTC 2025","passed","Sun Dec 14 11:47:18 UTC 2025","","","",""
"","2668","Auth with empty login","Registration not valid  test suite","Sun Dec 14 11:46:56 UTC 2025","passed","Sun Dec 14 11:46:59 UTC 2025","","","",""
"","5580","Registration with valid data","Registration test suite","Sun Dec 14 11:48:09 UTC 2025","skipped","Sun Dec 14 11:48:14 UTC 2025","","","",""
"","2989","User cannot login with empty password","Registration not valid  test suite","Sun Dec 14 11:47:31 UTC 2025","passed","Sun Dec 14 11:47:34 UTC 2025","","","",""
"","2653","Auth with incorrect login","Registration not valid  test suite","Sun Dec 14 11:47:18 UTC 2025","passed","Sun Dec 14 11:47:20 UTC 2025","","","",""
"","5549","Auth with valid data","Registration test suite","Sun Dec 14 11:48:09 UTC 2025","passed","Sun Dec 14 11:48:14 UTC 2025","","","",""
"","6655","Auth with valid data","","Sun Dec 14 11:46:45 UTC 2025","passed","Sun Dec 14 11:46:52 UTC 2025","","","",""
"","3021","Auth with incorrect login","Registration not valid  test suite","Sun Dec 14 11:46:52 UTC 2025","passed","Sun Dec 14 11:46:55 UTC 2025","","","",""
"","8556","Place order from the main page","","Sun Dec 14 11:47:58 UTC 2025","passed","Sun Dec 14 11:48:06 UTC 2025","","","",""
"","2632","Auth with incorrect pass","Registration not valid  test suite","Sun Dec 14 11:47:00 UTC 2025","passed","Sun Dec 14 11:47:02 UTC 2025","","","",""
"","2579","Auth with empty login","Registration not valid  test suite","Sun Dec 14 11:47:21 UTC 2025","passed","Sun Dec 14 11:47:24 UTC 2025","","","",""
"","2386","Auth with empty pass","Registration not valid  test suite","Sun Dec 14 11:47:03 UTC 2025","passed","Sun Dec 14 11:47:06 UTC 2025","","","",""
"","2300","Auth with empty pass","Registration not valid  test suite","Sun Dec 14 11:47:28 UTC 2025","passed","Sun Dec 14 11:47:30 UTC 2025","","","",""
"","3745","Auth with valid data","Registration test suite","Sun Dec 14 11:48:32 UTC 2025","passed","Sun Dec 14 11:48:36 UTC 2025","","","",""
"","2712","Auth with incorrect pass","Registration not valid  test suite","Sun Dec 14 11:47:24 UTC 2025","passed","Sun Dec 14 11:47:27 UTC 2025","","","",""
"","12095","Registration with valid data","Registration test suite","Sun Dec 14 11:48:20 UTC 2025","passed","Sun Dec 14 11:48:32 UTC 2025","","","",""
"","12990","Place order from the main page","","Sun Dec 14 11:47:42 UTC 2025","failed","Sun Dec 14 11:47:55 UTC 2025","","","",""
"","361","passes","template spec","Sun Dec 14 11:48:40 UTC 2025","passed","Sun Dec 14 11:48:40 UTC 2025","","","",""
